Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking,Anisotropy degree
56,1.68,1.65,0.912617,-0.572035 -15.0999 0,0,0,0.0291261,1.05145,0.40822,0.433344,0.0624972,1.07819,0.749769,10.2574,0,0.0169848,31.303,27.7599,2.26533
57,1.71,1.68,0.954796,-0.575786 -15.1523 0,0,0,0.0302245,1.08916,0.413381,0.444688,0.0620932,1.083,0.758903,10.3506,0,0.0253106,31.5715,28.0145,2.26517
58,1.74,1.71,0.998624,-0.578218 -15.2078 0,0,0,0.0313269,1.12761,0.418288,0.456278,0.0617444,1.08778,0.767285,10.4377,0,0.0325694,31.8651,28.2476,2.26549
59,1.77,1.74,1.04372,-0.579591 -15.2664 0,0,0,0.03243,1.16743,0.422978,0.467974,0.0614384,1.09273,0.775184,10.5164,0,0.0381586,32.1732,28.4965,2.26584
60,1.8,1.77,1.08965,-0.58006 -15.3286 0,0,0,0.0335404,1.20807,0.427468,0.479684,0.0611685,1.09775,0.782691,10.5856,0,0.0427502,32.4536,28.7531,2.2671
61,1.83,1.8,1.1373,-0.579708 -15.3945 0,0,0,0.0346608,1.24973,0.431763,0.491275,0.0609295,1.10241,0.789822,10.6484,0,0.0464744,32.6562,28.9944,2.31476
62,1.86,1.83,1.18742,-0.578864 -15.4645 0,0,0,0.0357752,1.29156,0.435888,0.502661,0.0607176,1.10639,0.796777,10.7124,0,0.0497828,32.8228,29.2103,2.31678
63,1.89,1.86,1.24047,-0.578002 -15.5386 0,0,0,0.0368813,1.33305,0.439867,0.513786,0.0605396,1.10992,0.803498,10.7794,0,0.0525816,33.032,29.4041,2.31914
64,1.92,1.89,1.29679,-0.577485 -15.6169 0,0,0,0.0379743,1.37425,0.443724,0.524565,0.0603859,1.11364,0.809843,10.8422,0,0.0533554,33.3231,29.6033,2.32194
65,1.95,1.92,1.35674,-0.577575 -15.6995 0,0,0,0.0390877,1.41615,0.447464,0.534862,0.0602314,1.11773,0.815926,10.8965,0,0.0519271,33.6102,29.8321,2.32485
66,1.98,1.95,1.42054,-0.578497 -15.7866 0,0,0,0.0402273,1.4602,0.451082,0.54453,0.0600559,1.12154,0.821877,10.9411,0,0.0493178,33.8103,30.0607,2.32777
